symbol,dt_close,close,volume
AAPL,2022-01-03 21:00:00,179.7246,106008584
AAPL,2022-01-04 21:00:00,177.4436,100370760
AAPL,2022-01-05 21:00:00,172.7236,95737752
AAPL,2022-01-06 21:00:00,169.8403,98114952
AAPL,2022-01-07 21:00:00,170.0081,87811768
AAPL,2022-01-10 21:00:00,170.0279,108112080
AAPL,2022-01-11 21:00:00,172.8816,77106512
AAPL,2022-01-12 21:00:00,173.3259,75756424
AAPL,2022-01-13 21:00:00,170.0279,85479088
AAPL,2022-01-14 21:00:00,170.8968,81463688
AAPL,2022-01-18 21:00:00,167.6679,92221984
AAPL,2022-01-19 21:00:00,164.1427,96020688
AAPL,2022-01-20 21:00:00,162.4443,92583048
AAPL,2022-01-21 21:00:00,160.3707,124386744
AAPL,2022-01-24 21:00:00,159.5906,164775712
AAPL,2022-01-25 21:00:00,157.7737,117249400
AAPL,2022-01-26 21:00:00,157.6848,109652176
AAPL,2022-01-27 21:00:00,157.2207,123505456
AAPL,2022-01-28 21:00:00,168.1912,181717424
AAPL,2022-01-31 21:00:00,172.5853,116991104
AAPL,2022-02-01 21:00:00,172.4175,86684376
AAPL,2022-02-02 21:00:00,173.632,85993952
AAPL,2022-02-03 21:00:00,170.729,90555144
AAPL,2022-02-04 21:00:00,170.4422,83388880
AAPL,2022-02-07 21:00:00,169.7205,78134008
AAPL,2022-02-08 21:00:00,172.8547,75684344
AAPL,2022-02-09 21:00:00,174.2883,72018248
AAPL,2022-02-10 21:00:00,170.1753,91752576
AAPL,2022-02-11 21:00:00,166.7346,99616216
AAPL,2022-02-14 21:00:00,166.9719,87170440
AAPL,2022-02-15 21:00:00,170.8377,65020964
AAPL,2022-02-16 21:00:00,170.6004,61838384
AAPL,2022-02-17 21:00:00,166.9719,70384592
AAPL,2022-02-18 21:00:00,165.4097,83718576
AAPL,2022-02-22 21:00:00,162.4634,92189976
AAPL,2022-02-23 21:00:00,158.2614,91037848
AAPL,2022-02-24 21:00:00,160.9013,142760544
AAPL,2022-02-25 21:00:00,162.9874,93025280
AAPL,2022-02-28 21:00:00,163.2544,96142912
AAPL,2022-03-01 21:00:00,161.3561,84422728
AAPL,2022-03-02 21:00:00,164.6781,80635824
AAPL,2022-03-03 21:00:00,164.3518,77554704
AAPL,2022-03-04 21:00:00,161.3264,84777464
AAPL,2022-03-07 21:00:00,157.5001,97520696
AAPL,2022-03-08 21:00:00,155.6611,132638112
AAPL,2022-03-09 21:00:00,161.1089,92490416
AAPL,2022-03-10 21:00:00,156.7289,106545856
AAPL,2022-03-11 21:00:00,152.9818,98024848
AAPL,2022-03-14 20:00:00,148.9182,109954448
AAPL,2022-03-15 20:00:00,153.3377,94026672
AAPL,2022-03-16 20:00:00,157.7869,103469216
AAPL,2022-03-17 20:00:00,158.8052,76479488
AAPL,2022-03-18 20:00:00,162.1273,124011328
AAPL,2022-03-21 20:00:00,163.5114,96906256
AAPL,2022-03-22 20:00:00,166.9126,82463736
AAPL,2022-03-23 20:00:00,168.2869,99183312
AAPL,2022-03-24 20:00:00,172.1032,91161416
AAPL,2022-03-25 20:00:00,172.7459,81449624
AAPL,2022-03-28 20:00:00,173.616,91404664
AAPL,2022-03-29 20:00:00,176.938,100596544
AAPL,2022-03-30 20:00:00,175.7614,92384472
AAPL,2022-03-31 20:00:00,172.6371,104226904
AAPL,2022-04-01 20:00:00,172.3405,79145568
AAPL,2022-04-04 20:00:00,176.4239,77420728
AAPL,2022-04-05 20:00:00,173.0821,74240600
AAPL,2022-04-06 20:00:00,169.8886,90076520
AAPL,2022-04-07 20:00:00,170.1951,78481384
AAPL,2022-04-08 20:00:00,168.1682,77408824
AAPL,2022-04-11 20:00:00,163.8773,73072320
AAPL,2022-04-12 20:00:00,165.7657,80171008
AAPL,2022-04-13 20:00:00,168.4747,71425936
AAPL,2022-04-14 20:00:00,163.4224,75927248
AAPL,2022-04-18 20:00:00,163.2049,69812728
AAPL,2022-04-19 20:00:00,165.5086,68497760
AAPL,2022-04-20 20:00:00,165.3405,68706096
AAPL,2022-04-21 20:00:00,164.5397,88224584
AAPL,2022-04-22 20:00:00,159.962,85845360
AAPL,2022-04-25 20:00:00,161.0397,97114640
AAPL,2022-04-26 20:00:00,155.0284,96687664
AAPL,2022-04-27 20:00:00,154.801,89069552
AAPL,2022-04-28 20:00:00,161.7911,131636504
AAPL,2022-04-29 20:00:00,155.8688,133253072
AAPL,2022-05-02 20:00:00,156.1753,124456184
AAPL,2022-05-03 20:00:00,157.6781,89983216
AAPL,2022-05-04 20:00:00,164.1442,109443056
AAPL,2022-05-05 20:00:00,154.9987,131909632
AAPL,2022-05-06 20:00:00,155.7314,116643112
AAPL,2022-05-09 20:00:00,150.5628,132886312
AAPL,2022-05-10 20:00:00,152.9887,116513928
AAPL,2022-05-11 20:00:00,145.0576,143965104
AAPL,2022-05-12 20:00:00,141.1564,184221936
AAPL,2022-05-13 20:00:00,145.6616,115124360
AAPL,2022-05-16 20:00:00,144.107,87505352
AAPL,2022-05-17 20:00:00,147.7706,78915248
AAPL,2022-05-18 20:00:00,139.4335,110834160
AAPL,2022-05-19 20:00:00,135.9977,137214544
AAPL,2022-05-20 20:00:00,136.2353,138758832
AAPL,2022-05-23 20:00:00,141.7009,118896920
AAPL,2022-05-24 20:00:00,138.978,105168224
AAPL,2022-05-25 20:00:00,139.1364,93402336
AAPL,2022-05-26 20:00:00,142.3643,91502024
AAPL,2022-05-27 20:00:00,148.1667,92334232
AAPL,2022-05-31 20:00:00,147.3745,104749776
AAPL,2022-06-01 20:00:00,147.2458,75025328
AAPL,2022-06-02 20:00:00,149.7212,73067472
AAPL,2022-06-03 20:00:00,143.9486,89451024
AAPL,2022-06-06 20:00:00,144.7011,72310344
AAPL,2022-06-07 20:00:00,147.2458,68482424
AAPL,2022-06-08 20:00:00,146.5032,54486676
AAPL,2022-06-09 20:00:00,141.2356,70163808
AAPL,2022-06-10 20:00:00,135.7798,92477160
AAPL,2022-06-13 20:00:00,130.5815,123342528
AAPL,2022-06-14 20:00:00,131.4529,85627408
AAPL,2022-06-15 20:00:00,134.0966,92443168
AAPL,2022-06-16 20:00:00,128.7794,109035064
AAPL,2022-06-17 20:00:00,130.2647,135857936
AAPL,2022-06-21 20:00:00,134.5322,81805944
AAPL,2022-06-22 20:00:00,134.0173,74139208
AAPL,2022-06-23 20:00:00,136.9086,73154040
AAPL,2022-06-24 20:00:00,140.2652,89280896
AAPL,2022-06-27 20:00:00,140.2652,70906048
AAPL,2022-06-28 20:00:00,136.0868,67984704
AAPL,2022-06-29 20:00:00,137.8591,66901116
AAPL,2022-06-30 20:00:00,135.3739,99948560
AAPL,2022-07-01 20:00:00,137.5621,71758080
AAPL,2022-07-05 20:00:00,140.1662,74159816
AAPL,2022-07-06 20:00:00,141.5128,74800736
AAPL,2022-07-07 20:00:00,144.909,66912528
AAPL,2022-07-08 20:00:00,145.5923,65185412
AAPL,2022-07-11 20:00:00,143.4436,63934612
AAPL,2022-07-12 20:00:00,144.4239,78360288
AAPL,2022-07-13 20:00:00,144.0575,71893424
AAPL,2022-07-14 20:00:00,147.0082,78917768
AAPL,2022-07-15 20:00:00,148.6914,77018248
AAPL,2022-07-18 20:00:00,145.622,82190112
AAPL,2022-07-19 20:00:00,149.5133,83794096
AAPL,2022-07-20 20:00:00,151.5332,65468008
AAPL,2022-07-21 20:00:00,153.8204,65711428
AAPL,2022-07-22 20:00:00,152.5728,67338384
AAPL,2022-07-25 20:00:00,151.4441,54113544
AAPL,2022-07-26 20:00:00,150.1074,55646988
AAPL,2022-07-27 20:00:00,155.2463,79402480
AAPL,2022-07-28 20:00:00,155.8007,82187952
AAPL,2022-07-29 20:00:00,160.9099,102775688
AAPL,2022-08-01 20:00:00,159.9198,68452360
AAPL,2022-08-02 20:00:00,158.4345,60502732
AAPL,2022-08-03 20:00:00,164.4943,83327928
AAPL,2022-08-04 20:00:00,164.1774,56025772
AAPL,2022-08-05 20:00:00,163.9494,57181344
AAPL,2022-08-08 20:00:00,163.4735,60878008
AAPL,2022-08-09 20:00:00,163.523,63614352
AAPL,2022-08-10 20:00:00,167.8064,70770000
AAPL,2022-08-11 20:00:00,167.0628,57630272
AAPL,2022-08-12 20:00:00,170.6422,68620640
AAPL,2022-08-15 20:00:00,171.723,54553796
AAPL,2022-08-16 20:00:00,171.5643,56858676
AAPL,2022-08-17 20:00:00,173.0715,80221560
AAPL,2022-08-18 20:00:00,172.6748,62822216
AAPL,2022-08-19 20:00:00,170.0671,70937880
AAPL,2022-08-22 20:00:00,166.1506,69565064
AAPL,2022-08-23 20:00:00,165.8135,54609656
AAPL,2022-08-24 20:00:00,166.1109,54301488
AAPL,2022-08-25 20:00:00,168.5897,51655764
AAPL,2022-08-26 20:00:00,162.234,79635536
AAPL,2022-08-29 20:00:00,160.013,73940272
AAPL,2022-08-30 20:00:00,157.5639,78571744
AAPL,2022-08-31 20:00:00,155.8883,88742792
AAPL,2022-09-01 20:00:00,156.622,74864040
AAPL,2022-09-02 20:00:00,154.4902,77463936
AAPL,2022-09-06 20:00:00,153.221,74344584
AAPL,2022-09-07 20:00:00,154.6389,88039568
AAPL,2022-09-08 20:00:00,153.1516,85634824
AAPL,2022-09-09 20:00:00,156.037,68662616
AAPL,2022-09-12 20:00:00,162.0457,105852592
AAPL,2022-09-13 20:00:00,152.5369,123699360
AAPL,2022-09-14 20:00:00,153.9944,88686640
AAPL,2022-09-15 20:00:00,151.0793,91254088
AAPL,2022-09-16 20:00:00,149.4235,162315040
AAPL,2022-09-19 20:00:00,153.1715,82170272
AAPL,2022-09-20 20:00:00,155.571,108559360
AAPL,2022-09-21 20:00:00,152.4179,102565584
AAPL,2022-09-22 20:00:00,151.4462,87392808
AAPL,2022-09-23 20:00:00,149.1558,96850288
AAPL,2022-09-26 20:00:00,149.4929,94136800
AAPL,2022-09-27 20:00:00,150.4745,85002768
AAPL,2022-09-28 20:00:00,148.5708,147914304
AAPL,2022-09-29 20:00:00,141.2731,129232912
AAPL,2022-09-30 20:00:00,137.0294,125977376
AAPL,2022-10-03 20:00:00,141.2434,115288224
AAPL,2022-10-04 20:00:00,144.8624,88529968
AAPL,2022-10-05 20:00:00,145.1599,79947168
AAPL,2022-10-06 20:00:00,144.1981,68892224
AAPL,2022-10-07 20:00:00,138.9034,86659616
AAPL,2022-10-10 20:00:00,139.2306,75538864
AAPL,2022-10-11 20:00:00,137.8028,77659696
AAPL,2022-10-12 20:00:00,137.1682,70531184
AAPL,2022-10-13 20:00:00,141.7788,114323208
AAPL,2022-10-14 20:00:00,137.2078,89583648
AAPL,2022-10-17 20:00:00,141.2037,85978928
AAPL,2022-10-18 20:00:00,142.5324,99977496
AAPL,2022-10-19 20:00:00,142.6414,62274884
AAPL,2022-10-20 20:00:00,142.1754,65073240
AAPL,2022-10-21 20:00:00,146.0225,87405848
AAPL,2022-10-24 20:00:00,148.1841,76631032
AAPL,2022-10-25 20:00:00,151.0496,75370968
AAPL,2022-10-26 20:00:00,148.0849,89196752
AAPL,2022-10-27 20:00:00,143.5735,110011560
AAPL,2022-10-28 20:00:00,154.4208,166170592
AAPL,2022-10-31 20:00:00,152.0411,98885912
AAPL,2022-11-01 20:00:00,149.3739,81036392
AAPL,2022-11-02 20:00:00,143.8015,94383536
AAPL,2022-11-03 20:00:00,137.7036,93600848
AAPL,2022-11-04 20:00:00,137.4354,141608144
AAPL,2022-11-07 21:00:00,137.9718,83945536
AAPL,2022-11-08 21:00:00,138.5478,91034504
AAPL,2022-11-09 21:00:00,133.9494,75333488
AAPL,2022-11-10 21:00:00,145.8675,119741560
AAPL,2022-11-11 21:00:00,148.6782,94625656
AAPL,2022-11-14 21:00:00,147.2679,73798272
AAPL,2022-11-15 21:00:00,149.0159,90485968
AAPL,2022-11-16 21:00:00,147.7744,64659820
AAPL,2022-11-17 21:00:00,149.6912,80951736
AAPL,2022-11-18 21:00:00,150.2573,75344368
